PROLIFIC_PID,certainty_change_count,color_time,correct_response,distractor_errors,exit_reason,exit_time,experiment_start_time,final_certainty,finish_time,first_certainty_time,image_path,initial_certainty,internal_node_id,intro_position,is_distractor,object,passed,percent_colored,profile_id,profile_index,question_order,response,response_index,response_label,rt,sanity_id,second_certainty_time,session_id,slider_start,stimulus,stimulus_type,study_id,study_type,subject_id,target_color,task_type,time_elapsed,timed_out,timeout_time,trial_index,trial_type,variant_region,view_history,manipulation_color
55a13a6ffdf99b6ec83c23b8,1.0,3570.399999976158,Strongly Disagree,0.0,completed,1770118446915,1770116903914,9.0,13147.399999976158,10749.799999952316,shapes/shape_colored/circle_v2_green/FG_100_seq.png,9.0,0.0-0.0,first,False,circle,True,100.0,profile_21_first,26,[0],70,4.0,green,15034.0,1.0,14096.299999952316,6981d6b2ceb41f68f6abb244,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",shape,6962232f30c21461e6a14157,main,55a13a6ffdf99b6ec83c23b8,green,introspection,15055,True,1770116933927.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 15034}]",green
562a00dac8ffc20012513fbe,1.0,13020.900000000373,Strongly Disagree,0.0,completed,1770117407634,1770116900099,8.0,18038.5,16179.400000000373,shapes/shape_colored/hexagon_v0_yellow/FG_020_seq.png,8.0,0.0-0.0,last,False,hexagon,True,20.0,profile_17_last,17,[0],{'Q0': 4},4.0,yellow,20848.0,1.0,4619.600000000559,6981d63530d8fb9e6c109f80,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",shape,6962232f30c21461e6a14157,main,562a00dac8ffc20012513fbe,yellow,color_judgment,20861,True,1770116930100.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 20847}]",yellow
56fa7c2e51c6bf000ccb2954,1.0,13607.0,Strongly Disagree,0.0,completed,1770118096004,1770117180261,7.0,24372.0,22751.000000000015,color_images/gpt-4o/image_priors/espresso_maker_2_fd91d5b6_resized_red/BG_060_seq.png,2.0,0.0-0.0,first,False,espresso maker,True,60.0,profile_8_first,70,[0],74,4.0,white,16565.0,1.0,20314.0,6981d81a17bd11ec36251738,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",correct_prior,6962232f30c21461e6a14157,main,56fa7c2e51c6bf000ccb2954,white,introspection,16570,True,1770117210261.0,0,instructions,BG,"[{'page_index': 0, 'viewing_time': 16564}]",red
571bdaa76b0894001362f780,1.0,,Strongly Disagree,,completed,1769606146541,1769605546811,9.0,,,color_images/gpt-4o/image_priors/bat_(animal)_2_c58feb12_resized_brown/FG_060_seq.png,9.0,0.0-0.0,first,False,bat,True,60.0,profile_7_first,68,[0],53,4.0,brown,1575.0,1.0,,697a089f3b3890ce8164d193,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",correct_prior,6962232f30c21461e6a14157,prolific_test,571bdaa76b0894001362f780,brown,introspection,1578,True,1769605576811.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 1574}]",brown
574da26c7f1e770007f42d11,1.0,6006.599999904633,Strongly Disagree,1.0,completed,1770117277737,1770116668816,9.0,11279.799999952316,9904.899999856949,shapes/shape_colored/pentagon_v1_pink/FG_090_seq.png,9.0,0.0-0.0,first,False,pentagon,True,90.0,profile_24_first,32,[0],35,4.0,pink,3210.0,1.0,5217.599999904633,6981d623888ecdb5a3b3a2ca,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",shape,6962232f30c21461e6a14157,main,574da26c7f1e770007f42d11,pink,introspection,3219,True,1770116698832.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 3210}]",pink
579f55486475d400015ab683,1.0,5147.79999999702,Strongly Disagree,0.0,completed,1770117495219,1770116666465,9.0,13070.20000000298,11677.0,color_images/gpt-4o/image_priors/lettuce_1_3a765877_resized_green/FG_060_seq.png,7.0,0.0-0.0,first,False,lettuce,True,60.0,profile_0_first,0,[0],33,4.0,green,26380.0,1.0,6453.70000000298,6981d61597018a5d4df27d2f,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",correct_prior,6962232f30c21461e6a14157,main,579f55486475d400015ab683,green,introspection,26384,True,1770116696466.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 26379}]",green
57b715b842195e000159f82b,1.0,5694.799999999814,Strongly Disagree,0.0,completed,1770118210402,1770116792475,9.0,10631.5,9687.199999999255,color_images/gpt-4o/image_priors/butternut_squash_4_cca6a1a8_resized_green/FG_040_seq.png,6.0,0.0-0.0,first,False,butternut squash,True,40.0,profile_9_first,72,[0],33,4.0,green,1920.0,1.0,6975.299999999814,6981d6af25d74e9ffb569f43,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",correct_prior,6962232f30c21461e6a14157,main,57b715b842195e000159f82b,green,introspection,1935,True,1770116822481.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 1920}]",green
58954e2dc88c680001dd4b7e,1.0,2671.900000035763,Strongly Disagree,0.0,completed,1770117351101,1770116811389,,14125.600000023842,13130.199999988079,shapes/shape_colored/circle_v1_green/FG_060_seq.png,10.0,0.0-0.0,last,False,circle,True,60.0,profile_35_last,57,[0],{'Q0': 4},4.0,green,32027.0,1.0,,6981d68ff05219bab5a06fe2,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",shape,6962232f30c21461e6a14157,main,58954e2dc88c680001dd4b7e,green,color_judgment,32075,True,1770116841393.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 32026}]",green
58c1ce3c3783090001b49355,1.0,3779.7999999821186,Strongly Disagree,0.0,completed,1770117169214,1770116669322,4.0,11639.399999976158,10952.699999988079,shapes/shape_colored/pentagon_v0_orange/FG_050_seq.png,8.0,0.0-0.0,first,False,pentagon,True,50.0,profile_31_first,48,[0],67,4.0,orange,7834.0,1.0,7883.9000000059605,6981d62bc819b79b2f3440bc,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",shape,6962232f30c21461e6a14157,main,58c1ce3c3783090001b49355,orange,introspection,7845,True,1770116699324.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 7834}]",orange
58f669cefb4d7500014af69b,1.0,3401.199999988079,Strongly Disagree,1.0,completed,1770117330002,1770116689955,,11009.699999988079,9941.899999976158,color_images/gpt-4o/counterfact/rose_3_64713026_resized_blue/FG_100_seq.png,10.0,0.0-0.0,first,False,rose,True,100.0,profile_28_first,40,[0],51,4.0,blue,18574.0,1.0,,6981d623f32faf10e34dd100,50.0,"
      <div style=""width:700px; margin:0 auto; text-align:left;"">
        <p>For any object, <b>x%</b> of its pixels should be colored for it to be considered that color.</p><p>For example, imagine an image of a banana, where only part of the banana in the image is colored yellow.</p><p>At what point would you personally say that the banana in the image is yellow?</p><p>What value should <b>x%</b> be?</p>

        <p style=""text-align:center; font-size:24px; margin-top:20px;"">
          Selected value: <b><span id=""slider-value"">50</span>%</b>
        </p>
      </div>
    ",counterfact,6962232f30c21461e6a14157,main,58f669cefb4d7500014af69b,blue,introspection,18628,True,1770116719955.0,0,instructions,FG,"[{'page_index': 0, 'viewing_time': 18574}]",blue
