image_path,object,correct_answer,predicted_color,logprob_pred_token,logprob_correct_token,correct_in_top_k,calibration,response_label,intro_position,stimulus_type,manipulation_color,target_color,variant_region,percent_colored,variant_label,mode
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/cheese_1_78f6ea0b_resized_yellow/BG_080_seq.png,cheese,white,black,-0.8939533233642578,-1.3939533233642578,True,,black,last,correct_prior,yellow,white,BG,80,BG 80% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/espresso_maker_2_fd91d5b6_resized_red/FG_005_seq.png,espresso maker,red,black,-0.318641185760498,,False,,black,last,correct_prior,red,red,FG,5,FG 5% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/tile_roof_2_f5edd85c_resized_red/FG_100_seq.png,tile roof,red,red,-0.0005852030590176,-0.0005852030590176,True,,red,last,correct_prior,red,red,FG,100,FG 100% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/cloud_3_29898571_resized_grey/FG_055_seq.png,cloud,grey,grey,-0.0043573640286922,-0.0043573640286922,True,,grey,last,correct_prior,grey,grey,FG,55,FG 55% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/frilled_lizard_2_a4801bb1_resized_brown/FG_100_seq.png,frilled lizard,brown,brown,-6.659005157416686e-05,-6.659005157416686e-05,True,,brown,last,correct_prior,brown,brown,FG,100,FG 100% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/pigeon_4_61bf181e_resized_grey/FG_030_seq.png,pigeon,grey,white,-0.4800449013710022,-6.230044841766357,True,,white,last,correct_prior,grey,grey,FG,30,FG 30% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/oriole_4_adc2a1f9_resized_brown/FG_050_seq.png,oriole,brown,brown,-0.137213721871376,-0.137213721871376,True,,brown,last,correct_prior,brown,brown,FG,50,FG 50% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/rose_3_64713026_resized_red/FG_020_seq.png,rose,red,red,-0.1499711722135543,-0.1499711722135543,True,,red,last,correct_prior,red,red,FG,20,FG 20% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/dolphin_5_d7fefaa3_resized_grey/FG_080_seq.png,dolphin,grey,grey,-0.0155671341344714,-0.0155671341344714,True,,grey,last,correct_prior,grey,grey,FG,80,FG 80% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/reflex_camera_1_bc049e04_resized_grey/FG_040_seq.png,reflex camera,grey,black,-0.0889525562524795,-3.8389525413513184,True,,black,last,correct_prior,grey,grey,FG,40,FG 40% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/shark_5_3fe7d0c2_resized_grey/BG_060_seq.png,shark,white,white,-0.938672661781311,-0.938672661781311,True,,white,last,correct_prior,grey,white,BG,60,BG 60% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/coho_1_a64d7b7a_resized_green/FG_000_seq.png,coho,white,black-and-white.,-0.0487911775708198,,False,,white,last,correct_prior,green,white,FG,0,FG 0% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/Band_Aid_1_e73eed92_resized_pink/FG_000_seq.png,band aid,white,black,-0.1277847439050674,-2.1277847290039062,True,,black,last,correct_prior,pink,white,FG,0,FG 0% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/jaguar_4_a2624ff9_resized_yellow/BG_040_seq.png,jaguar,white,white,-0.5665727257728577,-0.5665727257728577,True,,white,last,correct_prior,yellow,white,BG,40,BG 40% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/turkey_3_a4189f72_resized_brown/FG_030_seq.png,turkey,brown,brown,-0.0285915248095989,-0.0285915248095989,True,,brown,last,correct_prior,brown,brown,FG,30,FG 30% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/spinach_2_093ee484_resized_green/FG_050_seq.png,spinach,green,green,-0.0009107483783736,-0.0009107483783736,True,,green,last,correct_prior,green,green,FG,50,FG 50% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/turkey_3_a4189f72_resized_brown/FG_060_seq.png,turkey,brown,brown,-0.0002513263898435,-0.0002513263898435,True,,brown,last,correct_prior,brown,brown,FG,60,FG 60% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/Maltese_dog_2_769e7078_resized_brown/FG_070_seq.png,maltese dog,brown,brown,-0.0067302878014743,-0.0067302878014743,True,,brown,last,correct_prior,brown,brown,FG,70,FG 70% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/palm_tree_3_036de81c_resized_green/FG_090_seq.png,palm tree,green,green.,-6.869017852295656e-06,-6.869017852295656e-06,True,,green,last,correct_prior,green,green,FG,90,FG 90% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/digital_watch_3_015799f8_resized_blue/FG_030_seq.png,digital watch,blue,blue,-0.0038802388589829,-0.0038802388589829,True,,blue,last,correct_prior,blue,blue,FG,30,FG 30% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/daisy_2_9f5fd00f_resized_yellow/FG_020_seq.png,daisy,yellow,yellow,-0.1350274384021759,-0.1350274384021759,True,,yellow,last,correct_prior,yellow,yellow,FG,20,FG 20% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/kangaroo_1_ea795cb8_resized_brown/FG_080_seq.png,kangaroo,brown,brown,-0.0001266613689949,-0.0001266613689949,True,,brown,last,correct_prior,brown,brown,FG,80,FG 80% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/baseball_2_f1bd2e56_resized_red/FG_010_seq.png,baseball,red,white,-0.0015243870439007,-7.001524448394775,True,,white,last,correct_prior,red,red,FG,10,FG 10% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/armadillo_3_76675318_resized_brown/BG_100_seq.png,armadillo,white,black-and-white,-0.4275687634944916,-1.927568793296814,True,,white,last,correct_prior,brown,white,BG,100,BG 100% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/gas_pump_5_beef7f46_resized_red/FG_010_seq.png,gas pump,red,black,-0.0166153497993946,,False,,black,last,correct_prior,red,red,FG,10,FG 10% (seq),seq
