image_path,object,correct_answer,predicted_color,logprob_pred_token,logprob_correct_token,correct_in_top_k,calibration,response_label,intro_position,stimulus_type,manipulation_color,target_color,variant_region,percent_colored,variant_label,mode
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/cheese_1_78f6ea0b_resized_yellow/BG_080_seq.png,cheese,white,white,-0.1112289354205131,-0.1112289354205131,True,,white,last,correct_prior,yellow,white,BG,80,BG 80% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/espresso_maker_2_fd91d5b6_resized_red/FG_005_seq.png,espresso maker,red,red,-0.6806442141532898,-0.7118942141532898,True,,red,last,correct_prior,red,red,FG,5,FG 5% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/tile_roof_2_f5edd85c_resized_red/FG_100_seq.png,tile roof,red,red,-0.020548790693283,-0.020548790693283,True,,red,last,correct_prior,red,red,FG,100,FG 100% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/cloud_3_29898571_resized_grey/FG_055_seq.png,cloud,grey,grey,-0.0459435544908046,-6.764693737030029,True,,grey,last,correct_prior,grey,grey,FG,55,FG 55% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/frilled_lizard_2_a4801bb1_resized_brown/FG_100_seq.png,frilled lizard,brown,brown,-0.0404524728655815,-0.0404524728655815,True,,brown,last,correct_prior,brown,brown,FG,100,FG 100% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/pigeon_4_61bf181e_resized_grey/FG_030_seq.png,pigeon,grey,white,-0.0754374638199806,-9.919187545776367,False,,white,last,correct_prior,grey,grey,FG,30,FG 30% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/oriole_4_adc2a1f9_resized_brown/FG_050_seq.png,oriole,brown,brown,-0.0889596343040466,-0.0889596343040466,True,,brown,last,correct_prior,brown,brown,FG,50,FG 50% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/rose_3_64713026_resized_red/FG_020_seq.png,rose,red,red,-0.3970432877540588,-0.3970432877540588,True,,red,last,correct_prior,red,red,FG,20,FG 20% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/dolphin_5_d7fefaa3_resized_grey/FG_080_seq.png,dolphin,grey,grey,-0.0447638779878616,-7.888514041900635,True,,grey,last,correct_prior,grey,grey,FG,80,FG 80% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/reflex_camera_1_bc049e04_resized_grey/FG_040_seq.png,reflex camera,grey,black,-0.2263310849666595,-5.913831233978272,False,,black,last,correct_prior,grey,grey,FG,40,FG 40% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/shark_5_3fe7d0c2_resized_grey/BG_060_seq.png,shark,white,white,-0.4722553491592407,-0.4722553491592407,True,,white,last,correct_prior,grey,white,BG,60,BG 60% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/coho_1_a64d7b7a_resized_green/FG_000_seq.png,coho,white,silver,-0.5516773462295532,-7.614177227020264,False,,other,last,correct_prior,green,white,FG,0,FG 0% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/Band_Aid_1_e73eed92_resized_pink/FG_000_seq.png,band aid,white,white,-0.0917586162686348,-0.0917586162686348,True,,white,last,correct_prior,pink,white,FG,0,FG 0% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/jaguar_4_a2624ff9_resized_yellow/BG_040_seq.png,jaguar,white,black,-0.4713221788406372,-1.5025721788406372,True,,black,last,correct_prior,yellow,white,BG,40,BG 40% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/turkey_3_a4189f72_resized_brown/FG_030_seq.png,turkey,brown,brown,-0.0785807967185974,-0.0785807967185974,True,,brown,last,correct_prior,brown,brown,FG,30,FG 30% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/spinach_2_093ee484_resized_green/FG_050_seq.png,spinach,green,green,-0.0944189876317977,-0.0944189876317977,True,,green,last,correct_prior,green,green,FG,50,FG 50% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/turkey_3_a4189f72_resized_brown/FG_060_seq.png,turkey,brown,brown,-0.1128508895635604,-0.1128508895635604,True,,brown,last,correct_prior,brown,brown,FG,60,FG 60% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/Maltese_dog_2_769e7078_resized_brown/FG_070_seq.png,maltese dog,brown,brown,-0.0306961704045534,-0.0306961704045534,True,,brown,last,correct_prior,brown,brown,FG,70,FG 70% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/palm_tree_3_036de81c_resized_green/FG_090_seq.png,palm tree,green,green,-0.0699366778135299,-0.0699366778135299,True,,green,last,correct_prior,green,green,FG,90,FG 90% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/digital_watch_3_015799f8_resized_blue/FG_030_seq.png,digital watch,blue,blue,-0.2450603395700454,-0.2450603395700454,True,,blue,last,correct_prior,blue,blue,FG,30,FG 30% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/daisy_2_9f5fd00f_resized_yellow/FG_020_seq.png,daisy,yellow,yellow,-0.4712123870849609,-0.4712123870849609,True,,yellow,last,correct_prior,yellow,yellow,FG,20,FG 20% (seq),seq
/mnt/lustre/work/eickhoff/esx061/color-concept-entanglement/data/color_images/gpt-4o/image_priors/kangaroo_1_ea795cb8_resized_brown/FG_080_seq.png,kangaroo,brown,brown,-0.0141669753938913,-0.0141669753938913,True,,brown,last,correct_prior,brown,brown,FG,80,FG 80% (seq),seq
